Dataset,Class,Method,DTW,ShapeDTW,SoftDTW,KDTW,MSM,SBD
ArticularyWordRecognition,7.0,Shape-DBA,16.345813019982064,295.9863817966193,149.3856106996825,1.072093625516622e-84,489.058113987752,0.1438580616968092
ArticularyWordRecognition,7.0,Soft-DBA,45.42187879387792,2278.984024193737,2028.6276427909072,0.0,1225.8927265052976,0.8007941831630916
ArticularyWordRecognition,7.0,TEKA,44.20193595144005,2146.435054039481,1918.808062533816,0.0,1195.0582692142789,0.8317153212579109
ArticularyWordRecognition,8.0,DBA,44.8698948495827,2139.405872452651,1988.674279332524,0.0,1172.3506314971332,0.8533654861112648
ArticularyWordRecognition,8.0,Shape-DBA,19.94343261351868,426.752043884458,305.7723640921562,1.0757630636725738e-155,529.1021625759063,0.1868861408393152
ArticularyWordRecognition,8.0,Soft-DBA,44.75151104564013,2126.4246458566868,1977.758542253424,0.0,1165.8093630541948,0.8480496524705892
ArticularyWordRecognition,8.0,TEKA,43.594124841715136,2016.155870549028,1874.5443050964384,0.0,1137.821403738959,0.8500033408882443
ArticularyWordRecognition,9.0,DBA,44.92132962363057,2278.020524632826,1994.0022425809696,0.0,1173.8065369573312,0.8601957247149283
ArticularyWordRecognition,9.0,Shape-DBA,19.85900334041294,448.9467536670885,312.1002190856476,1.9454419966693666e-147,544.5865355073964,0.2008669700556015
ArticularyWordRecognition,9.0,Soft-DBA,45.32207569444687,2309.03557553874,2029.188381993898,0.0,1169.3093370947968,0.8609805946608795
ArticularyWordRecognition,9.0,TEKA,43.68637961720889,2123.775907523584,1881.162830250521,0.0,1146.2142194891053,0.8724986661327614
BasicMotions,badminton,DBA,24.37011141282873,698.1860033041065,549.8199323304679,4.0165850014588646e-179,435.0262259113414,0.7980746239922638
BasicMotions,badminton,Shape-DBA,22.80045298715463,561.7119809530247,456.4309469018816,4.931271503317721e-141,386.3232507693319,0.6942213585576817
BasicMotions,badminton,Soft-DBA,24.39305871818243,691.1559450804099,550.2691191440272,8.13030196701804e-173,432.05723009905006,0.795963814351203
BasicMotions,badminton,TEKA,24.41120641614605,602.4810302115594,510.6241476289978,2.1773262908494583e-138,405.44918066617606,0.7344079561841601
BasicMotions,running,DBA,27.86888213425538,846.9838610316838,762.334964649023,2.512062792587357e-290,502.5950122771392,0.8738659223295311
BasicMotions,running,Shape-DBA,14.600534211387608,258.0626693852188,190.90099000126776,9.988226007884396e-116,294.4219484943247,0.4524294280764165
BasicMotions,running,Soft-DBA,27.91439882934972,855.1512714418674,764.4536985848086,3.469793425091252e-290,503.5698397579425,0.8768745669180055
BasicMotions,running,TEKA,25.34201248809918,694.4594895386506,619.589327354525,5.755833877867209e-268,485.6395514836322,0.8722253742807007
BasicMotions,standing,DBA,26.098887251885685,750.9123795540054,635.563574253554,1.978665762989349e-104,444.3561648925185,0.8193669047436127
BasicMotions,standing,Shape-DBA,20.97594180486939,482.1800780158202,383.6065853546373,2.8191722399673698e-71,343.22353068456,0.5360343773268073
BasicMotions,standing,Soft-DBA,25.96743985437427,729.7161571622587,623.5710138439949,1.305008525425127e-93,437.1230126601252,0.8180380942811913
BasicMotions,standing,TEKA,24.44675140610071,612.8855560731957,518.307086915535,1.1281017740720167e-37,392.64324367389327,0.7141251709728763
BasicMotions,walking,DBA,27.810450250224825,850.6990401948306,757.1088592265494,3.700394931219655e-274,533.7064885954379,0.8601033941765707
BasicMotions,walking,Shape-DBA,15.797422934125134,272.667841283408,213.8821949023564,1.475887039708002e-124,284.9530228964793,0.3355222724057764
BasicMotions,walking,Soft-DBA,27.959934489510545,856.0562650494176,765.5762284041654,6.254987986825279e-275,533.6858265127573,0.8541786213312059
BasicMotions,walking,TEKA,24.39288402791584,614.6699466684901,561.5378378631196,5.949494198113246e-227,477.8909577641795,0.7103082087597421
Cricket,1.0,DBA,99.51069893983936,10582.36329374002,9188.941977877688,0.0,5564.493290575727,0.7773408360532059
